"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1600000US0647472","Milford CDP, California","-","**","**","-",
"1600000US0647486","Millbrae city, California","1606700","42033","null","null",
"1600000US0647592","Millerton CDP, California","542300","92696","null","null",
"1600000US0647710","Mill Valley city, California","1724900","135780","null","null",
"1600000US0647724","Millville CDP, California","318900","54623","null","null",
"1600000US0647766","Milpitas city, California","994200","22122","null","null",
"1600000US0647794","Mineral CDP, California","170700","60229","null","null",
"1600000US0647822","Minkler CDP, California","510400","177455","null","null",
"1600000US0648046","Mira Monte CDP, California","628900","46444","null","null",
"1600000US0648060","Miranda CDP, California","259800","77667","null","null",
"1600000US0648147","Mission Canyon CDP, California","1303400","250105","null","null",
"1600000US0648186","Mission Hills CDP, California","390900","35074","null","null",
"1600000US0648256","Mission Viejo city, California","772400","12110","null","null",
"1600000US0648298","Mi-Wuk Village CDP, California","379900","56759","null","null",
"1600000US0648354","Modesto city, California","330000","4639","null","null",
"1600000US0648410","Modjeska CDP, California","744300","173404","null","null",
"1600000US0648448","Mohawk Vista CDP, California","-","**","**","-",
"1600000US0648452","Mojave CDP, California","125400","49212","null","null",
"1600000US0648480","Mokelumne Hill CDP, California","349700","92452","null","null",
"1600000US0648592","Monmouth CDP, California","122200","78423","null","null",
"1600000US0648602","Mono City CDP, California","-","**","**","-",
"1600000US0648641","Mono Vista CDP, California","319100","26240","null","null",
"1600000US0648648","Monrovia city, California","723000","29702","null","null",
"1600000US0648676","Monson CDP, California","-","**","**","-",
"1600000US0648690","Montague city, California","155100","15158","null","null",
"1600000US0648718","Montalvin Manor CDP, California","399500","52481","null","null",
"1600000US0648760","Montara CDP, California","1244300","183367","null","null",
"1600000US0648788","Montclair city, California","423300","12187","null","null",
"1600000US0648816","Montebello city, California","557400","13960","null","null",
"1600000US0648844","Montecito CDP, California","2,000,000+","***","***","2,000,000+",
"1600000US0648872","Monterey city, California","834700","32762","null","null",
"1600000US0648914","Monterey Park city, California","667300","11685","null","null",
"1600000US0648916","Monterey Park Tract CDP, California","318000","83135","null","null",
"1600000US0648928","Monte Rio CDP, California","571300","67504","null","null",
"1600000US0648956","Monte Sereno city, California","2,000,000+","***","***","2,000,000+",
"1600000US0648998","Montgomery Creek CDP, California","-","**","**","-",
"1600000US0649045","Monument Hills CDP, California","774800","102864","null","null",
"1600000US0649138","Moorpark city, California","684600","18375","null","null",
"1600000US0649180","Morada CDP, California","581100","192486","null","null",
"1600000US0649187","Moraga town, California","1226200","47226","null","null",
"1600000US0649270","Moreno Valley city, California","353400","2657","null","null",
"1600000US0649278","Morgan Hill city, California","930200","21173","null","null",
"1600000US0649348","Morongo Valley CDP, California","183300","16888","null","null",
"1600000US0649362","Morro Bay city, California","708100","42450","null","null",
"1600000US0649432","Moskowite Corner CDP, California","-","**","**","-",
"1600000US0649446","Moss Beach CDP, California","995800","306777","null","null",
"1600000US0649488","Moss Landing CDP, California","-","**","**","-",
"1600000US0649544","Mountain Center CDP, California","-","**","**","-",
"1600000US0649558","Mountain Gate CDP, California","128400","67861","null","null",
"1600000US0649582","Mountain House CDP, California","634500","29979","null","null",
"1600000US0649592","Mountain Meadows CDP, California","-","**","**","-",
"1600000US0649600","Mountain Mesa CDP, California","184200","22753","null","null",
"1600000US0649628","Mountain Ranch CDP, California","-","**","**","-",
"1600000US0649651","Mountain View CDP, California","433900","99882","null","null",
"1600000US0649670","Mountain View city, California","1613300","42153","null","null",
"1600000US0649684","Mountain View Acres CDP, California","261200","29897","null","null",
"1600000US0649726","Mt. Bullion CDP, California","271200","47748","null","null",
"1600000US0649768","Mount Hebron CDP, California","-","**","**","-",
"1600000US0649796","Mount Hermon CDP, California","854900","68734","null","null",
"1600000US0649810","Mount Laguna CDP, California","222200","145328","null","null",
"1600000US0649852","Mount Shasta city, California","246400","30182","null","null",
"1600000US0649950","Muir Beach CDP, California","1535700","208007","null","null",
"1600000US0650034","Murphys CDP, California","232400","160523","null","null",
"1600000US0650076","Murrieta city, California","458000","5914","null","null",
"1600000US0650132","Muscoy CDP, California","275000","30722","null","null",
"1600000US0650146","Myers Flat CDP, California","-","**","**","-",
"1600000US0650188","Myrtletown CDP, California","351900","36270","null","null",
"1600000US0650258","Napa city, California","666600","11019","null","null",
"1600000US0650398","National City city, California","452100","9555","null","null",
"1600000US0650734","Needles city, California","121500","34182","null","null",
"1600000US0650874","Nevada City city, California","481800","72288","null","null",
"1600000US0650916","Newark city, California","870200","15946","null","null",
"1600000US0651000","Newcastle CDP, California","457500","137541","null","null",
"1600000US0651028","New Cuyama CDP, California","149200","37885","null","null",
"1600000US0651042","Newell CDP, California","-","**","**","-",
"1600000US0651140","Newman city, California","297000","14418","null","null",
"1600000US0651168","New Pine Creek CDP, California","130400","18284","null","null",
"1600000US0651182","Newport Beach city, California","2,000,000+","***","***","2,000,000+",
"1600000US0651280","Nicasio CDP, California","-","**","**","-",
"1600000US0651294","Nice CDP, California","114200","64469","null","null",
